time,temperature_2m,windspeed_10m,winddirection_10m,predicted_windspeed
2023-01-13T05:00,54.8,22.1,158,14.37526421
2023-01-13T06:00,53.7,17.7,153,15.97155559
2023-01-13T07:00,55.4,18.3,160,15.37998346
2023-01-13T08:00,55.4,18.7,182,13.39603054
2023-01-13T09:00,54.7,13,178,12.10912536
2023-01-13T10:00,53.3,13.7,157,8.79625931
2023-01-13T11:00,53,13.9,163,13.60204552
2023-01-13T12:00,52,12.4,170,14.22120763
2023-01-13T13:00,51.8,12.5,162,10.05625
2023-01-13T14:00,50.7,10.1,163,13.78860235
2023-01-13T15:00,52.1,11.7,223,14.44951261
2023-01-13T16:00,53.5,14.3,190,14.34925903
2023-01-13T17:00,53.7,16.1,246,15.74036679
2023-01-13T18:00,53.1,15.9,245,9.257285929
2023-01-13T19:00,51.9,18.7,242,12.13918347
2023-01-13T20:00,47.1,21.2,291,15.58472541
2023-01-13T21:00,44.3,21.9,303,7.460149643
2023-01-13T22:00,41.2,18.5,303,14.96940838
2023-01-13T23:00,39.9,18.7,300,12.16737099
2023-01-14T00:00,39,16.3,315,8.484482926
2023-01-14T01:00,39,16.6,304,14.78589125
2023-01-14T02:00,38.4,16.8,318,14.78890496
2023-01-14T03:00,37.7,20,330,8.668779473
2023-01-14T04:00,37.4,15.5,335,11.13602303
2023-01-14T05:00,36.9,15.6,331,12.16365581
2023-01-14T06:00,36.4,21.7,339,16.25137731
2023-01-14T07:00,34.6,19.2,326,12.67682269
2023-01-14T08:00,34.2,18.8,334,15.12024342
2023-01-14T09:00,33.6,26.1,336,8.308967708
2023-01-14T10:00,33.1,18.3,338,8.281117928
2023-01-14T11:00,32.6,20.3,333,11.57083663
2023-01-14T12:00,32.3,21.3,344,10.67296995
2023-01-14T13:00,32.7,18.4,357,10.41569804
2023-01-14T14:00,32.3,20,334,11.92981703
2023-01-14T15:00,32.5,18,344,14.86471218
2023-01-14T16:00,33.4,24.6,333,15.38086679
2023-01-14T17:00,33.5,23.2,341,9.825295021
2023-01-14T18:00,34.7,23.8,342,11.85707548
2023-01-14T19:00,34.4,26.3,338,13.4994797
2023-01-14T20:00,34.6,25.4,339,12.91170069
2023-01-14T21:00,34.3,21.5,342,12.90988207
2023-01-14T22:00,32.3,18.9,336,9.026460857
2023-01-14T23:00,32.2,18.4,337,13.88810251
2023-01-15T00:00,31.7,23.2,353,12.44446478
2023-01-15T01:00,31.1,25,348,16.38475467
2023-01-15T02:00,31,22.5,354,14.99440033
2023-01-15T03:00,30.2,20.5,350,7.589318197
2023-01-15T04:00,30.2,25.4,335,9.026876541
2023-01-15T05:00,30.4,25.9,344,12.14056042
2023-01-15T06:00,29.6,28.3,338,13.83609215
2023-01-15T07:00,29.1,26.8,343,7.609555759
2023-01-15T08:00,28.9,25.1,344,13.39454966
2023-01-15T09:00,28.7,25.4,335,15.07275362
2023-01-15T10:00,29,29.2,331,13.83315638
2023-01-15T11:00,29.6,22.7,340,8.871936628
